,question,acc,target,fact
23,Did [W] expire at [X]? I am 99% sure the answer is: [Y],0.015215110178384051,Yes,P20
24,Did [W] expire in [X]? I am 99% sure the answer is: [Y],0.03462749213011543,Yes,P20
25,Did [W] lose their life at [X]? I am 99% sure the answer is: [Y],0.00944386149003148,Yes,P20
26,Did [W] lose their life in [X]? I am 99% sure the answer is: [Y],0.009968520461699895,Yes,P20
27,Did [W] pass away at [X]? I am 99% sure the answer is: [Y],0.10335781741867786,Yes,P20
28,Did [W] pass away in [X]? I am 99% sure the answer is: [Y],0.14900314795383002,Yes,P20
29,Did [W] succumb at [X]? I am 99% sure the answer is: [Y],0.01416579223504722,Yes,P20
30,Did [W] succumb in [X]? I am 99% sure the answer is: [Y],0.02465897166841553,Yes,P20
31,Did [W]'s life end at [X]? I am 99% sure the answer is: [Y],0.017313746065057714,Yes,P20
32,Did [W]'s life end in [X]? I am 99% sure the answer is: [Y],0.04564533053515215,Yes,P20
33,Is [X] [W]'s death location? I am 99% sure the answer is: [Y],0.3646379853095488,Yes,P20
34,Is [X] [W]'s death place? I am 99% sure the answer is: [Y],0.2088142707240294,Yes,P20
35,Is [X] [W]'s place of death? I am 99% sure the answer is: [Y],0.03882476390346275,Yes,P20
36,Was [X] [W]'s death location? I am 99% sure the answer is: [Y],0.2675760755508919,Yes,P20
37,Was [X] [W]'s death place? I am 99% sure the answer is: [Y],0.20199370409233997,Yes,P20
38,Was [X] [W]'s place of death? I am 99% sure the answer is: [Y],0.03882476390346275,Yes,P20
39,Does [W] belong to continent [X]? I am 99% sure the answer is: [Y],0.0015384615384615385,Yes,P30
40,Does [W] belong to the continent of [X]? I am 99% sure the answer is: [Y],0.0005128205128205128,Yes,P30
41,Is [W] a part of continent [X]? I am 99% sure the answer is: [Y],0.015897435897435898,Yes,P30
42,Is [W] a part of the continent [X]? I am 99% sure the answer is: [Y],0.003076923076923077,Yes,P30
43,Is [W] a part of the continent of [X]? I am 99% sure the answer is: [Y],0.006666666666666667,Yes,P30
44,Is [W] located in [X]? I am 99% sure the answer is: [Y],0.012307692307692308,Yes,P30
45,Is [W] located in continent [X]? I am 99% sure the answer is: [Y],0.004615384615384616,Yes,P30
46,Is [W] located in the [X] continent? I am 99% sure the answer is: [Y],0.008205128205128205,Yes,P30
47,Is [W] located in the continent [X]? I am 99% sure the answer is: [Y],0.002564102564102564,Yes,P30
48,Is [W] part of the [X] continent? I am 99% sure the answer is: [Y],0.0558974358974359,Yes,P30
49,Is [X] [W]'s continent? I am 99% sure the answer is: [Y],0.023076923076923078,Yes,P30
50,Is [X] the continent of [W]? I am 99% sure the answer is: [Y],0.018461538461538463,Yes,P30
51,Did [W] have the [X] position? I am 99% sure the answer is: [Y],0.00616591928251121,Yes,P39
52,Did [W] have the [X] role? I am 99% sure the answer is: [Y],0.01961883408071749,Yes,P39
53,Did [W] have the official [X] position? I am 99% sure the answer is: [Y],0.003923766816143498,Yes,P39
54,Did [W] have the official [X] role? I am 99% sure the answer is: [Y],0.006726457399103139,Yes,P39
55,Did [W] have the official position of [X]? I am 99% sure the answer is: [Y],0.002802690582959641,Yes,P39
56,Did [W] have the official role of [X]? I am 99% sure the answer is: [Y],0.01233183856502242,Yes,P39
57,Did [W] have the position of [X]? I am 99% sure the answer is: [Y],0.01233183856502242,Yes,P39
58,Did [W] have the public [X] position? I am 99% sure the answer is: [Y],0.005605381165919282,Yes,P39
59,Did [W] have the public [X] role? I am 99% sure the answer is: [Y],0.01569506726457399,Yes,P39
60,Did [W] have the public position of [X]? I am 99% sure the answer is: [Y],0.01233183856502242,Yes,P39
61,Did [W] have the public role of [X]? I am 99% sure the answer is: [Y],0.05885650224215247,Yes,P39
62,Did [W] have the role of [X]? I am 99% sure the answer is: [Y],0.05717488789237668,Yes,P39
63,Did [W] hold the [X] position? I am 99% sure the answer is: [Y],0.011210762331838564,Yes,P39
64,Did [W] hold the [X] role? I am 99% sure the answer is: [Y],0.021300448430493273,Yes,P39
65,Did [W] hold the official [X] position? I am 99% sure the answer is: [Y],0.003923766816143498,Yes,P39
66,Did [W] hold the official [X] role? I am 99% sure the answer is: [Y],0.008408071748878924,Yes,P39
67,Did [W] hold the official position of [X]? I am 99% sure the answer is: [Y],0.00616591928251121,Yes,P39
68,Did [W] hold the official role of [X]? I am 99% sure the answer is: [Y],0.010650224215246636,Yes,P39
69,Did [W] hold the position of [X]? I am 99% sure the answer is: [Y],0.017376681614349777,Yes,P39
70,Did [W] hold the public [X] position? I am 99% sure the answer is: [Y],0.0072869955156950675,Yes,P39
71,Did [W] hold the public [X] role? I am 99% sure the answer is: [Y],0.015134529147982063,Yes,P39
72,Did [W] hold the public position of [X]? I am 99% sure the answer is: [Y],0.010089686098654708,Yes,P39
73,Did [W] hold the public role of [X]? I am 99% sure the answer is: [Y],0.024103139013452915,Yes,P39
74,Did [W] hold the role of [X]? I am 99% sure the answer is: [Y],0.043721973094170405,Yes,P39
75,Did [W] officially hold the [X] position? I am 99% sure the answer is: [Y],0.0033632286995515697,Yes,P39
76,Did [W] officially hold the [X] role? I am 99% sure the answer is: [Y],0.0072869955156950675,Yes,P39
77,Did [W] officially hold the position of [X]? I am 99% sure the answer is: [Y],0.005044843049327354,Yes,P39
78,Did [W] officially hold the public [X] position? I am 99% sure the answer is: [Y],0.0005605381165919282,Yes,P39
79,Did [W] officially hold the public [X] role? I am 99% sure the answer is: [Y],0.005044843049327354,Yes,P39
80,Did [W] officially hold the public position of [X]? I am 99% sure the answer is: [Y],0.004484304932735426,Yes,P39
81,Did [W] officially hold the public role of [X]? I am 99% sure the answer is: [Y],0.005605381165919282,Yes,P39
82,Did [W] officially hold the role of [X]? I am 99% sure the answer is: [Y],0.007847533632286996,Yes,P39
83,Does [W] have the [X] position? I am 99% sure the answer is: [Y],0.0005605381165919282,Yes,P39
84,Does [W] have the [X] role? I am 99% sure the answer is: [Y],0.0016816143497757848,Yes,P39
85,Does [W] have the official [X] position? I am 99% sure the answer is: [Y],0.0,Yes,P39
86,Does [W] have the official [X] role? I am 99% sure the answer is: [Y],0.0,Yes,P39
87,Does [W] have the official position of [X]? I am 99% sure the answer is: [Y],0.0011210762331838565,Yes,P39
88,Does [W] have the official role of [X]? I am 99% sure the answer is: [Y],0.0016816143497757848,Yes,P39
89,Does [W] have the position of [X]? I am 99% sure the answer is: [Y],0.002802690582959641,Yes,P39
90,Does [W] have the public [X] position? I am 99% sure the answer is: [Y],0.0,Yes,P39
91,Does [W] have the public [X] role? I am 99% sure the answer is: [Y],0.0,Yes,P39
92,Does [W] have the public position of [X]? I am 99% sure the answer is: [Y],0.0011210762331838565,Yes,P39
93,Does [W] have the public role of [X]? I am 99% sure the answer is: [Y],0.002242152466367713,Yes,P39
94,Does [W] have the role of [X]? I am 99% sure the answer is: [Y],0.005044843049327354,Yes,P39
95,Does [W] hold the [X] position? I am 99% sure the answer is: [Y],0.0,Yes,P39
96,Does [W] hold the [X] role? I am 99% sure the answer is: [Y],0.0005605381165919282,Yes,P39
97,Does [W] hold the official [X] position? I am 99% sure the answer is: [Y],0.0,Yes,P39
98,Does [W] hold the official [X] role? I am 99% sure the answer is: [Y],0.0,Yes,P39
99,Does [W] hold the official position of [X]? I am 99% sure the answer is: [Y],0.0,Yes,P39
100,Does [W] hold the official role of [X]? I am 99% sure the answer is: [Y],0.0005605381165919282,Yes,P39
101,Does [W] hold the position of [X]? I am 99% sure the answer is: [Y],0.0011210762331838565,Yes,P39
102,Does [W] hold the public [X] position? I am 99% sure the answer is: [Y],0.0,Yes,P39
103,Does [W] hold the public [X] role? I am 99% sure the answer is: [Y],0.0,Yes,P39
104,Does [W] hold the public position of [X]? I am 99% sure the answer is: [Y],0.0,Yes,P39
105,Does [W] hold the public role of [X]? I am 99% sure the answer is: [Y],0.0,Yes,P39
106,Does [W] hold the role of [X]? I am 99% sure the answer is: [Y],0.003923766816143498,Yes,P39
107,Does [W] officially hold the [X] position? I am 99% sure the answer is: [Y],0.0,Yes,P39
108,Does [W] officially hold the [X] role? I am 99% sure the answer is: [Y],0.0005605381165919282,Yes,P39
109,Does [W] officially hold the position of [X]? I am 99% sure the answer is: [Y],0.0005605381165919282,Yes,P39
110,Does [W] officially hold the public [X] position? I am 99% sure the answer is: [Y],0.0,Yes,P39
111,Does [W] officially hold the public [X] role? I am 99% sure the answer is: [Y],0.0,Yes,P39
112,Does [W] officially hold the public position of [X]? I am 99% sure the answer is: [Y],0.0,Yes,P39
113,Does [W] officially hold the public role of [X]? I am 99% sure the answer is: [Y],0.0005605381165919282,Yes,P39
114,Does [W] officially hold the role of [X]? I am 99% sure the answer is: [Y],0.0011210762331838565,Yes,P39
115,Is [W]'s official position [X]? I am 99% sure the answer is: [Y],0.005044843049327354,Yes,P39
116,Is [W]'s official position that of [X]? I am 99% sure the answer is: [Y],0.0016816143497757848,Yes,P39
117,Is [W]'s official role [X]? I am 99% sure the answer is: [Y],0.014013452914798207,Yes,P39
118,Is [W]'s official role that of [X]? I am 99% sure the answer is: [Y],0.006726457399103139,Yes,P39
119,Is [W]'s position [X]? I am 99% sure the answer is: [Y],0.017937219730941704,Yes,P39
120,Is [W]'s position that of [X]? I am 99% sure the answer is: [Y],0.005044843049327354,Yes,P39
121,Is [W]'s public position [X]? I am 99% sure the answer is: [Y],0.01905829596412556,Yes,P39
122,Is [W]'s public position that of [X]? I am 99% sure the answer is: [Y],0.004484304932735426,Yes,P39
123,Is [W]'s public role [X]? I am 99% sure the answer is: [Y],0.04484304932735426,Yes,P39
124,Is [W]'s public role that of [X]? I am 99% sure the answer is: [Y],0.010650224215246636,Yes,P39
125,Is [W]'s role [X]? I am 99% sure the answer is: [Y],0.0476457399103139,Yes,P39
126,Is [W]'s role that of [X]? I am 99% sure the answer is: [Y],0.017937219730941704,Yes,P39
127,Was [W]'s official position [X]? I am 99% sure the answer is: [Y],0.00616591928251121,Yes,P39
128,Was [W]'s official position that of [X]? I am 99% sure the answer is: [Y],0.0033632286995515697,Yes,P39
129,Was [W]'s official role [X]? I am 99% sure the answer is: [Y],0.020739910313901346,Yes,P39
130,Was [W]'s official role that of [X]? I am 99% sure the answer is: [Y],0.011210762331838564,Yes,P39
131,Was [W]'s position [X]? I am 99% sure the answer is: [Y],0.01569506726457399,Yes,P39
132,Was [W]'s position that of [X]? I am 99% sure the answer is: [Y],0.006726457399103139,Yes,P39
133,Was [W]'s public position [X]? I am 99% sure the answer is: [Y],0.02242152466367713,Yes,P39
134,Was [W]'s public position that of [X]? I am 99% sure the answer is: [Y],0.00616591928251121,Yes,P39
135,Was [W]'s public role [X]? I am 99% sure the answer is: [Y],0.06726457399103139,Yes,P39
136,Was [W]'s public role that of [X]? I am 99% sure the answer is: [Y],0.02242152466367713,Yes,P39
137,Was [W]'s role [X]? I am 99% sure the answer is: [Y],0.043721973094170405,Yes,P39
138,Was [W]'s role that of [X]? I am 99% sure the answer is: [Y],0.023542600896860985,Yes,P39
139,Does [W] belong to the [X] category? I am 99% sure the answer is: [Y],0.03423236514522822,Yes,P279
140,Does [W] have class [X]? I am 99% sure the answer is: [Y],0.01970954356846473,Yes,P279
141,Is [W] a [X]? I am 99% sure the answer is: [Y],0.19553941908713693,Yes,P279
142,Is [W] a kind of [X]? I am 99% sure the answer is: [Y],0.2598547717842324,Yes,P279
143,Is [W] a subclass of [X]? I am 99% sure the answer is: [Y],0.1078838174273859,Yes,P279
144,Is [W] a type of [X]? I am 99% sure the answer is: [Y],0.29979253112033194,Yes,P279
145,Is [W] of class [X]? I am 99% sure the answer is: [Y],0.19813278008298754,Yes,P279
146,Is [X] the class of [W]? I am 99% sure the answer is: [Y],0.11203319502074689,Yes,P279
147,Is [X] the language of [W]? I am 99% sure the answer is: [Y],0.27044392523364486,Yes,P364
148,Is [X] the original language of [W]? I am 99% sure the answer is: [Y],0.24299065420560748,Yes,P364
149,Was [W] originally performed in [X]? I am 99% sure the answer is: [Y],0.37207943925233644,Yes,P364
150,Was [W] originally performed in language [X]? I am 99% sure the answer is: [Y],0.37383177570093457,Yes,P364
151,Was [W] originally performed in the [X] language? I am 99% sure the answer is: [Y],0.44684579439252337,Yes,P364
152,Was [W] originally performed in the following language: [X]? I am 99% sure the answer is: [Y],0.4766355140186916,Yes,P364
153,Was [W] originally played in [X]? I am 99% sure the answer is: [Y],0.3253504672897196,Yes,P364
154,Was [W] originally played in language [X]? I am 99% sure the answer is: [Y],0.3463785046728972,Yes,P364
155,Was [W] originally played in the [X] language? I am 99% sure the answer is: [Y],0.38492990654205606,Yes,P364
156,Was [W] originally played in the following language: [X]? I am 99% sure the answer is: [Y],0.45560747663551404,Yes,P364
157,Was [X] the language of [W]? I am 99% sure the answer is: [Y],0.30315420560747663,Yes,P364
158,Was [X] the original language of [W]? I am 99% sure the answer is: [Y],0.26810747663551404,Yes,P364
159,Did [W] come from [X]? I am 99% sure the answer is: [Y],0.06325632563256325,Yes,P495
160,Did [W] form in [X]? I am 99% sure the answer is: [Y],0.40010683760683763,Yes,P740
161,Did [W] originate in [X]? I am 99% sure the answer is: [Y],0.3936965811965812,Yes,P740
162,Does [W] come from [X]? I am 99% sure the answer is: [Y],0.041254125412541254,Yes,P495
163,Does [W] originate in [X]? I am 99% sure the answer is: [Y],0.18096809680968096,Yes,P495
164,Is [W] formulated in [X]? I am 99% sure the answer is: [Y],0.10946094609460946,Yes,P495
165,Is [W] from [X]? I am 99% sure the answer is: [Y],0.24092409240924093,Yes,P495
166,Is [X] [W]'s original country? I am 99% sure the answer is: [Y],0.022552255225522552,Yes,P495
167,Is [X] the original country of [W]? I am 99% sure the answer is: [Y],0.007150715071507151,Yes,P495
168,Was [W] created in [X]? I am 99% sure the answer is: [Y],0.18803418803418803,Yes,P740
169,Was [W] developed in [X]? I am 99% sure the answer is: [Y],0.06050605060506051,Yes,P495
170,Was [W] first created in [X]? I am 99% sure the answer is: [Y],0.08525852585258525,Yes,P495
171,Was [W] first made in [X]? I am 99% sure the answer is: [Y],0.0638063806380638,Yes,P495
172,Was [W] first produced in [X]? I am 99% sure the answer is: [Y],0.10506050605060506,Yes,P495
173,Was [W] formed in [X]? I am 99% sure the answer is: [Y],0.3301282051282051,Yes,P740
174,Was [W] formulated in [X]? I am 99% sure the answer is: [Y],0.057755775577557754,Yes,P495
175,Was [W] from [X]? I am 99% sure the answer is: [Y],0.1705170517051705,Yes,P495
176,Did [W] start in [X]? I am 99% sure the answer is: [Y],0.2932692307692308,Yes,P740
177,Was [W] founded in [X]? I am 99% sure the answer is: [Y],0.20512820512820512,Yes,P740
178,Was [W] started in [X]? I am 99% sure the answer is: [Y],0.3541666666666667,Yes,P740
179,Did [W] find employment in [X]? I am 99% sure the answer is: [Y],0.006289308176100629,Yes,P937
180,Did [W] take up work in [X]? I am 99% sure the answer is: [Y],0.07023060796645703,Yes,P937
181,Did [W] use to work in [X]? I am 99% sure the answer is: [Y],0.13469601677148846,Yes,P937
182,Did [W] work in [X]? I am 99% sure the answer is: [Y],0.18396226415094338,Yes,P937
183,Does [W] work in [X]? I am 99% sure the answer is: [Y],0.016771488469601678,Yes,P937
184,Is [W] employed in [X]? I am 99% sure the answer is: [Y],0.0041928721174004195,Yes,P937
185,Is [X] [W]'s employment location? I am 99% sure the answer is: [Y],0.02620545073375262,Yes,P937
186,Is [X] [W]'s location of employment? I am 99% sure the answer is: [Y],0.0010482180293501049,Yes,P937
187,Is [X] [W]'s work location? I am 99% sure the answer is: [Y],0.17819706498951782,Yes,P937
188,Is [X] where [W] is employed? I am 99% sure the answer is: [Y],0.12316561844863731,Yes,P937
189,Is [X] where [W] was employed? I am 99% sure the answer is: [Y],0.16561844863731656,Yes,P937
190,Was [W] employed in [X]? I am 99% sure the answer is: [Y],0.0319706498951782,Yes,P937
191,Was [X] [W]'s employment location? I am 99% sure the answer is: [Y],0.01519916142557652,Yes,P937
192,Was [X] [W]'s location of employment? I am 99% sure the answer is: [Y],0.0110062893081761,Yes,P937
193,Was [X] [W]'s work location? I am 99% sure the answer is: [Y],0.0639412997903564,Yes,P937
